dataset,seed,k,auc,max_occ
wiki-rfa,45,1024,0.8870852190823127,6351
wiki-rfa,46,1,0.8785354339819654,103154
wiki-rfa,46,2,0.8805340889564504,103154
wiki-rfa,46,4,0.8816399950590901,103154
wiki-rfa,46,8,0.8821996598709448,103154
wiki-rfa,46,16,0.8825368105235736,103154
wiki-rfa,46,32,0.882524573092023,103154
wiki-rfa,46,64,0.8825183602421588,103154
wiki-rfa,46,128,0.8825588002467292,103154
wiki-rfa,46,256,0.8825586119785516,103154
wiki-rfa,46,512,0.882564730694327,103154
wiki-rfa,46,1024,0.8825648248284157,103154
wiki-rfa,47,1,0.8891276369947044,5518
wiki-rfa,47,2,0.8909079197098727,5518
wiki-rfa,47,4,0.8921324253510557,5518
wiki-rfa,47,8,0.8923010571578234,5518
wiki-rfa,47,16,0.8925497970742033,5518
wiki-rfa,47,32,0.8926137894278043,5518
wiki-rfa,47,64,0.8926162745677498,5518
wiki-rfa,47,128,0.892625273786644,5518
wiki-rfa,47,256,0.8926180066349847,5518
wiki-rfa,47,512,0.892620774177197,5518
wiki-rfa,47,1024,0.8926200964117572,5518
wiki-rfa,48,1,0.8900158203632405,1482
wiki-rfa,48,2,0.8920817623844361,1482
wiki-rfa,48,4,0.8930365267940163,1482
wiki-rfa,48,8,0.893290613526643,1482
wiki-rfa,48,16,0.8935020951706557,1482
wiki-rfa,48,32,0.8935398805939206,1482
wiki-rfa,48,64,0.8935053522101299,1482
wiki-rfa,48,128,0.8935224657874831,1482
wiki-rfa,48,256,0.8935232941674651,1482
wiki-rfa,48,512,0.8935150480212817,1482
wiki-rfa,48,1024,0.8935184180216627,1482
wiki-rfa,49,1,0.8860712537442539,1725
wiki-rfa,49,2,0.889035667989897,1725
wiki-rfa,49,4,0.8894388254656282,1725
wiki-rfa,49,8,0.8901695319169253,1725
wiki-rfa,49,16,0.8903140842237649,1725
wiki-rfa,49,32,0.8903651048999222,1725
wiki-rfa,49,64,0.8903358291982895,1725
wiki-rfa,49,128,0.8903218220458685,1725
wiki-rfa,49,256,0.8903278842811906,1725
wiki-rfa,49,512,0.8903290891975277,1725
wiki-rfa,49,1024,0.8903279972420971,1725
wiki-rfa,50,1,0.894848071440092,101594
wiki-rfa,50,2,0.8971452350237324,101594
wiki-rfa,50,4,0.8973228660493944,101594
wiki-rfa,50,8,0.8976310987099282,101594
wiki-rfa,50,16,0.8976816863692766,101594
wiki-rfa,50,32,0.8977440407897315,101594
wiki-rfa,50,64,0.8977629429147729,101594
wiki-rfa,50,128,0.897755807550838,101594
wiki-rfa,50,256,0.8977735235863595,101594
wiki-rfa,50,512,0.8977731470500042,101594
wiki-rfa,50,1024,0.8977729964354622,101594
wiki-rfa,51,1,0.8864499081166571,3925
wiki-rfa,51,2,0.889053449919281,3925
wiki-rfa,51,4,0.8903725226661238,3925
wiki-rfa,51,8,0.890625649231044,3925
wiki-rfa,51,16,0.8910026374300747,3925
wiki-rfa,51,32,0.8909637788781969,3925
wiki-rfa,51,64,0.8910072876540638,3925
wiki-rfa,51,128,0.8909817961428029,3925
wiki-rfa,51,256,0.890985147316366,3925
wiki-rfa,51,512,0.8909844130704729,3925
wiki-rfa,51,1024,0.890984733126375,3925
