dataset,seed,k,auc,max_occ
bitcoin-alpha,51,256,0.9247555976032797,1753
bitcoin-alpha,51,512,0.9249591468134515,1753
bitcoin-alpha,51,1024,0.9249562799231674,1753
bitcoin-otc,42,1,0.9326017013111833,3274
bitcoin-otc,42,2,0.932056431689129,3274
bitcoin-otc,42,4,0.9363044624655981,3274
bitcoin-otc,42,8,0.9365274676839204,3274
bitcoin-otc,42,16,0.9350687511970133,3274
bitcoin-otc,42,32,0.9351343409671081,3274
bitcoin-otc,42,64,0.9355313777087482,3274
bitcoin-otc,42,128,0.9358943077699389,3274
bitcoin-otc,42,256,0.9360132438863775,3274
bitcoin-otc,42,512,0.9360053731139661,3274
bitcoin-otc,42,1024,0.9360062476442341,3274
bitcoin-otc,43,1,0.9291228199053582,16486
bitcoin-otc,43,2,0.9299475019480161,16486
bitcoin-otc,43,4,0.9313721117544738,16486
bitcoin-otc,43,8,0.9302518384812557,16486
bitcoin-otc,43,16,0.9311875858679406,16486
bitcoin-otc,43,32,0.9313773589360815,16486
bitcoin-otc,43,64,0.9321889230247202,16486
bitcoin-otc,43,128,0.9325492294951074,16486
bitcoin-otc,43,256,0.9322580109158869,16486
bitcoin-otc,43,512,0.9323480875334834,16486
bitcoin-otc,43,1024,0.9323358441097324,16486
bitcoin-otc,44,1,0.930311306539475,4748
bitcoin-otc,44,2,0.9333284359638329,4748
bitcoin-otc,44,4,0.933565433666442,4748
bitcoin-otc,44,8,0.9360963242618309,4748
bitcoin-otc,44,16,0.9341067679022905,4748
bitcoin-otc,44,32,0.9353853311540039,4748
bitcoin-otc,44,64,0.9364723722770407,4748
bitcoin-otc,44,128,0.9367084954493818,4748
bitcoin-otc,44,256,0.9368073173696578,4748
bitcoin-otc,44,512,0.9368081918999257,4748
bitcoin-otc,44,1024,0.9368073173696576,4748
bitcoin-otc,45,1,0.9403675300904001,4897
bitcoin-otc,45,2,0.9414519476226331,4897
bitcoin-otc,45,4,0.9440528006394565,4897
bitcoin-otc,45,8,0.9418428626523978,4897
bitcoin-otc,45,16,0.9437891297636758,4897
bitcoin-otc,45,32,0.9434318841492262,4897
bitcoin-otc,45,64,0.9433969029385092,4897
bitcoin-otc,45,128,0.9434589945875322,4897
bitcoin-otc,45,256,0.943524584357627,4897
bitcoin-otc,45,512,0.9435018465706606,4897
bitcoin-otc,45,1024,0.9434948503285172,4897
bitcoin-otc,46,1,0.9291088274210714,4491
bitcoin-otc,46,2,0.9269006384945486,4491
bitcoin-otc,46,4,0.9255923412137256,4491
bitcoin-otc,46,8,0.9293222128064463,4491
bitcoin-otc,46,16,0.9295347236615532,4491
bitcoin-otc,46,32,0.9301818760598213,4491
bitcoin-otc,46,64,0.9296763975649579,4491
