bucket,mean_auc,std_auc,n_seeds,mean_n
in_same,0.938589563212821,0.002087100595230542,10,23532997
in_diff,0.7248161576617831,0.006668735469472241,10,4201308
out_same,0.9810152411712577,0.0011780667381346898,10,19839169
out_diff,0.7780075982624648,0.0061225839685837,10,4008568
