dataset,src_bin_lo,src_bin_hi,tgt_bin_lo,tgt_bin_hi,mean_auc,std_auc,n_splits_valid
wiki-rfa,0.5,0.75,0.0,0.25,0.9664598313207808,0.01436701714389593,10
wiki-rfa,0.5,0.75,0.25,0.5,0.8597116135404699,0.037050226981250815,10
wiki-rfa,0.5,0.75,0.5,0.75,0.7835584681335552,0.0296509406963473,10
wiki-rfa,0.5,0.75,0.75,1.0,0.6431850683990071,0.024353681580305424,10
wiki-rfa,0.75,1.0,0.0,0.25,0.9321853201321293,0.011607023602604,10
wiki-rfa,0.75,1.0,0.25,0.5,0.7886616124835478,0.011393014422143927,10
wiki-rfa,0.75,1.0,0.5,0.75,0.7392020272726654,0.011243270762455931,10
wiki-rfa,0.75,1.0,0.75,1.0,0.6228886758748818,0.011755523794394505,10
slashdot090221,0.0,0.25,0.0,0.25,0.9554604243909226,0.014938523133465055,10
slashdot090221,0.0,0.25,0.25,0.5,0.945243149839763,0.01791165423955413,10
slashdot090221,0.0,0.25,0.5,0.75,0.9357754627066228,0.011211844567060562,10
slashdot090221,0.0,0.25,0.75,1.0,0.9187660250646654,0.007376767184947113,10
slashdot090221,0.25,0.5,0.0,0.25,0.8885439002609787,0.019581066840454603,10
slashdot090221,0.25,0.5,0.25,0.5,0.8589083095276834,0.028439088699260144,10
slashdot090221,0.25,0.5,0.5,0.75,0.8485963021196218,0.01748075346261362,10
slashdot090221,0.25,0.5,0.75,1.0,0.786567357847804,0.012124511679012967,10
slashdot090221,0.5,0.75,0.0,0.25,0.8441458689098107,0.0232526742973978,10
slashdot090221,0.5,0.75,0.25,0.5,0.7654577634841224,0.025324041689604792,10
slashdot090221,0.5,0.75,0.5,0.75,0.7450087921437676,0.019774454466538825,10
slashdot090221,0.5,0.75,0.75,1.0,0.7033098548260466,0.008963065999250038,10
slashdot090221,0.75,1.0,0.0,0.25,0.7689519165444404,0.022376364728434683,10
slashdot090221,0.75,1.0,0.25,0.5,0.6468873658555668,0.018504869226844568,10
slashdot090221,0.75,1.0,0.5,0.75,0.6291963796866212,0.010961449398675292,10
slashdot090221,0.75,1.0,0.75,1.0,0.576980576747535,0.0048287079703397805,10
