dataset,n_obs,n_seeds,intercept,intercept_se,intercept_p,src_coef,src_se,src_p,tgt_coef,tgt_se,tgt_p
bitcoin-alpha,76,10,0.0190196947142584,0.05787883947905057,0.7499658428626239,-0.1150766551375356,0.08869747190779001,0.22675915140130454,0.11470896752513592,0.06544831693628154,0.11356644110391168
bitcoin-otc,125,10,-0.09583093352602298,0.02477907414123011,0.0038037556077299417,0.13098761429493774,0.026202673369139808,0.0007399598998170109,0.19431001006415374,0.0388678210439693,0.0007397233295218797
epinions,160,10,0.02553320261501906,0.009656050398487097,0.026726054402675947,0.05442270191257761,0.01343077281684072,0.002875887669127053,0.0032876941836712595,0.005316248141336362,0.5516238264326452
wiki-elec,160,10,0.004842124975370957,0.010034517118122315,0.6409373233074112,0.00023576053322246944,0.013015754369557757,0.9859435332954227,0.0068315615193801065,0.007446664987066702,0.382859540211266
wiki-rfa,160,10,0.001584703025674128,0.005745517728889394,0.7889181747716116,0.013113242504946325,0.00741580169744132,0.11080600616580005,-0.003914814727269935,0.004929067510255449,0.4474966094024493
slashdot090221,160,10,0.03392435300860677,0.00439835113746604,2.9602579250553873e-05,0.0048531076617337,0.002871142897530897,0.1252302493025197,-0.020898513350527646,0.007188603694552978,0.017391097140958545
