dataset,layer,nhead,forward,backward,node,edge,self
bitcoin-alpha,0,4,0.4427954917155998,0.4114581758162078,0.3625488178572457,0.49170484967456196,0.14574633395734293
bitcoin-otc,0,4,0.4031726620023549,0.4448641469879316,0.4500740513356466,0.39796275765463984,0.15196319123973145
epinions,0,8,0.3763954548725915,0.4523785413611128,0.5023246698945737,0.32644932633913054,0.17122600392280016
slashdot090221,0,4,0.4171582422764229,0.36288837335764124,0.2694041099385036,0.5106425056955606,0.219953384871377
wiki-elec,0,2,0.3113077302229649,0.43220358337119436,0.4161238197802426,0.32738749381391663,0.25648868506304007
wiki-rfa,0,2,0.18943739210324584,0.5565796842018917,0.3584035105894466,0.38761356571569106,0.25398292337952155
