dataset,model,train_auc,test_auc
epinions,func_logq3,0.9527,0.9526
epinions,func_logq_power,0.9529,0.9527
epinions,func_pos_conf,0.9529,0.9529
epinions,func_pos_expde,0.9525,0.9523
epinions,func_pos_expds,0.9526,0.9526
epinions,func_pos_exprel,0.9527,0.9526
epinions,func_pos_invq,0.9532,0.9531
epinions,func_pos_middle,0.9526,0.9524
epinions,func_pos_power,0.9527,0.9526
epinions,func_rp_sym,0.9527,0.9526
epinions,func_uniform,0.9525,0.9522
wiki-elec,func_centrality,0.9004,0.9074
wiki-elec,func_conf_cert,0.8991,0.9061
wiki-elec,func_conf_exp,0.8991,0.906
wiki-elec,func_conf_logit,0.8991,0.906
wiki-elec,func_conf_power,0.8991,0.9061
wiki-elec,func_de_power,0.8991,0.9059
wiki-elec,func_dist_min,0.9003,0.9071
wiki-elec,func_dist_prod,0.8999,0.907
wiki-elec,func_ds_de,0.9005,0.9077
wiki-elec,func_inv_len,0.8996,0.9067
wiki-elec,func_invq_exp,0.8991,0.906
wiki-elec,func_invq_power,0.8991,0.906
wiki-elec,func_len_cert,0.8997,0.9068
wiki-elec,func_len_conf,0.8997,0.9068
wiki-elec,func_len_exp,0.8996,0.9066
wiki-elec,func_len_harmonic,0.8996,0.9067
wiki-elec,func_len_invq,0.8997,0.9067
wiki-elec,func_len_logq,0.8997,0.9067
wiki-elec,func_len_pos,0.9003,0.9077
wiki-elec,func_len_power,0.8997,0.9067
wiki-elec,func_log1mq_power,0.8991,0.906
wiki-elec,func_log3,0.8997,0.9067
wiki-elec,func_log4,0.8997,0.9067
wiki-elec,func_log5,0.8997,0.9067
wiki-elec,func_log6,0.8997,0.9067
wiki-elec,func_log_both,0.8997,0.9067
wiki-elec,func_logit3,0.8997,0.9067
wiki-elec,func_logit_len,0.8997,0.9068
wiki-elec,func_logit_pos,0.9003,0.9077
wiki-elec,func_logit_power,0.8991,0.9061
wiki-elec,func_logq3,0.8997,0.9067
wiki-elec,func_logq_power,0.8991,0.906
wiki-elec,func_pos_conf,0.9003,0.9077
wiki-elec,func_pos_expde,0.8991,0.9059
wiki-elec,func_pos_expds,0.9004,0.9076
wiki-elec,func_pos_exprel,0.9003,0.9077
wiki-elec,func_pos_invq,0.9003,0.9076
wiki-elec,func_pos_middle,0.9004,0.9074
wiki-elec,func_pos_power,0.9003,0.9077
wiki-elec,func_rp_sym,0.9004,0.9074
wiki-elec,func_uniform,0.8991,0.906
wiki-rfa,func_centrality,0.894,0.8962
wiki-rfa,func_conf_cert,0.8938,0.8959
wiki-rfa,func_conf_exp,0.8937,0.8959
wiki-rfa,func_conf_logit,0.8937,0.8958
wiki-rfa,func_conf_power,0.8937,0.8958
wiki-rfa,func_de_power,0.8937,0.8958
wiki-rfa,func_dist_min,0.8939,0.8962
wiki-rfa,func_dist_prod,0.8937,0.8961
wiki-rfa,func_ds_de,0.894,0.8966
wiki-rfa,func_inv_len,0.8935,0.8962
wiki-rfa,func_invq_exp,0.8937,0.8959
wiki-rfa,func_invq_power,0.8937,0.8959
wiki-rfa,func_len_cert,0.8938,0.8959
wiki-rfa,func_len_conf,0.8937,0.8959
wiki-rfa,func_len_exp,0.8937,0.8959
wiki-rfa,func_len_harmonic,0.8937,0.8959
wiki-rfa,func_len_invq,0.8937,0.896
wiki-rfa,func_len_logq,0.8937,0.8959
wiki-rfa,func_len_pos,0.894,0.8965
wiki-rfa,func_len_power,0.8937,0.896
wiki-rfa,func_log1mq_power,0.8937,0.8958
wiki-rfa,func_log3,0.8937,0.8959
wiki-rfa,func_log4,0.8937,0.8959
wiki-rfa,func_log5,0.8937,0.8959
wiki-rfa,func_log6,0.8937,0.8959
wiki-rfa,func_log_both,0.8937,0.8959
wiki-rfa,func_logit3,0.8937,0.8959
wiki-rfa,func_logit_len,0.8938,0.896
wiki-rfa,func_logit_pos,0.8941,0.8965
wiki-rfa,func_logit_power,0.8938,0.8959
wiki-rfa,func_logq3,0.8937,0.8959
wiki-rfa,func_logq_power,0.8937,0.8959
wiki-rfa,func_pos_conf,0.894,0.8965
wiki-rfa,func_pos_expde,0.8937,0.8959
wiki-rfa,func_pos_expds,0.8938,0.8967
wiki-rfa,func_pos_exprel,0.894,0.8965
wiki-rfa,func_pos_invq,0.894,0.8966
wiki-rfa,func_pos_middle,0.894,0.8962
wiki-rfa,func_pos_power,0.8939,0.8965
wiki-rfa,func_rp_sym,0.8939,0.8964
wiki-rfa,func_uniform,0.8937,0.8958
slashdot090221,func_centrality,0.898,0.8982
slashdot090221,func_conf_cert,0.8976,0.898
slashdot090221,func_conf_exp,0.8975,0.8979
slashdot090221,func_conf_logit,0.8975,0.8979
slashdot090221,func_conf_power,0.8975,0.898
slashdot090221,func_de_power,0.8975,0.8979
slashdot090221,func_dist_min,0.8978,0.8979
slashdot090221,func_dist_prod,0.898,0.8983
slashdot090221,func_ds_de,0.898,0.8983
slashdot090221,func_inv_len,0.8979,0.8983
slashdot090221,func_invq_exp,0.8975,0.8979
slashdot090221,func_invq_power,0.8975,0.898
slashdot090221,func_len_cert,0.898,0.8984
slashdot090221,func_len_conf,0.8979,0.8984
slashdot090221,func_len_exp,0.8977,0.8981
