dataset,model,src_bin_lo,src_bin_hi,tgt_bin_lo,tgt_bin_hi,auc,n
wiki-rfa,walk_localattn4,0.5,0.75,0.5,0.75,0.8092859785423603,806
wiki-rfa,walk_localattn4,0.5,0.75,0.75,1.0,0.6471922362505721,1405
wiki-rfa,walk_localattn4,0.75,1.0,0.0,0.25,0.9382694333001825,2108
wiki-rfa,walk_localattn4,0.75,1.0,0.25,0.5,0.8301210387598835,941
wiki-rfa,walk_localattn4,0.75,1.0,0.5,0.75,0.7448365732095598,1242
wiki-rfa,walk_localattn4,0.75,1.0,0.75,1.0,0.6596929326580272,2645
slashdot090221,walk_localattn4,0.0,0.25,0.0,0.25,0.9850169435351249,8953
slashdot090221,walk_localattn4,0.0,0.25,0.25,0.5,0.9909584265879697,3569
slashdot090221,walk_localattn4,0.0,0.25,0.5,0.75,0.947115309344258,4319
slashdot090221,walk_localattn4,0.0,0.25,0.75,1.0,0.9621111116646668,6487
slashdot090221,walk_localattn4,0.25,0.5,0.0,0.25,0.9046133789391052,2076
slashdot090221,walk_localattn4,0.25,0.5,0.25,0.5,0.8175862937767701,1008
slashdot090221,walk_localattn4,0.25,0.5,0.5,0.75,0.8620382107744969,1416
slashdot090221,walk_localattn4,0.25,0.5,0.75,1.0,0.8098996849610347,2370
slashdot090221,walk_localattn4,0.5,0.75,0.0,0.25,0.8996582767722474,2141
slashdot090221,walk_localattn4,0.5,0.75,0.25,0.5,0.7940379403794039,1035
slashdot090221,walk_localattn4,0.5,0.75,0.5,0.75,0.7844009968445209,1546
slashdot090221,walk_localattn4,0.5,0.75,0.75,1.0,0.7431125606195615,3183
slashdot090221,walk_localattn4,0.75,1.0,0.0,0.25,0.8441816334823242,3731
slashdot090221,walk_localattn4,0.75,1.0,0.25,0.5,0.6725696502667458,1866
slashdot090221,walk_localattn4,0.75,1.0,0.5,0.75,0.6559777666240949,3161
slashdot090221,walk_localattn4,0.75,1.0,0.75,1.0,0.5853990249919624,8060
