dataset,n_nodes,mean_H_out,mean_H_in,median_H_out,median_H_in,t_stat,t_pvalue,wilcoxon_stat,wilcoxon_pvalue
bitcoin-alpha,3257,0.06993678121689544,0.08578792845547566,0.0,0.0,-3.3508223394660557,0.0008149046041894229,95930.0,0.0005095468227418965
bitcoin-otc,4791,0.0890885966861673,0.11926836584164038,0.0,0.0,-6.6587296850453574,3.072557515576715e-11,254206.0,2.7397356245929345e-11
epinions,47763,0.1315223068095853,0.19395528686572572,0.0,0.0,-33.85632908614303,2.580163634952263e-248,57818850.5,3.682548868859894e-244
wiki-elec,1376,0.48391194172021473,0.3968146844957828,0.5435644431995964,0.3227569588973983,6.220156425663201,6.577337467346441e-10,461014.0,1.7307208852815549e-10
wiki-rfa,2499,0.4846249915354767,0.41009255844251064,0.5435644431995964,0.3372900666170139,7.3717819646345575,2.277225394211807e-13,1475445.0,3.370216518673562e-14
slashdot090221,32188,0.24421233736123865,0.3293556741289401,0.0,0.0,-32.074022284008805,3.2294908716043186e-222,55390168.5,2.6199297628291707e-218
