dataset,forward_mean,forward_se,backward_mean,backward_se,node_mean,node_se,edge_mean,edge_se
bitcoin-alpha,0.4391675571289652,0.0015853660108975033,0.41367743546742736,0.0014000442955139083,0.36528422920979225,0.0015709677785726462,0.48756076340873133,0.0013576431593169279
bitcoin-otc,0.39614534220049635,0.0013498322003725335,0.4512621641596589,0.0012706304558137368,0.45807725700069246,0.0016417236365771752,0.38933024928122184,0.0013182977230221386
epinions,0.38047337187014135,0.0007149617302265384,0.444521724801079,0.0007511547983860685,0.5049902356380002,0.00042986705156359276,0.32000486118219,0.0004849092323143427
wiki-elec,0.3172079863121811,0.0022541807478706427,0.40844950698864946,0.0025227803109424195,0.431351361871124,0.0020508332945118972,0.294306131239083,0.0021766211561597853
wiki-rfa,0.19469093197945442,0.0010902108749240025,0.5327804558294692,0.0017645727857518985,0.3897713964414415,0.0018728536995392796,0.3376999914901439,0.0019361544608392227
slashdot090221,0.41095712752841485,0.0012786273520946608,0.35424234112437736,0.0012557992596618005,0.27821817899933027,0.0011314458311874305,0.4869812897120002,0.0011720620281978932
