dataset,model,src_bin_lo,src_bin_hi,tgt_bin_lo,tgt_bin_hi,auc,n
epinions,SiGAT,0.75,1.0,0.0,0.25,0.9021955372497484,6496
epinions,SiGAT,0.75,1.0,0.25,0.5,0.7312402180725771,3968
epinions,SiGAT,0.75,1.0,0.5,0.75,0.7269532393999544,2115
epinions,SiGAT,0.75,1.0,0.75,1.0,0.6615761763479109,2147
epinions,GINEConv,0.0,0.25,0.0,0.25,0.8463709793898412,30423
epinions,GINEConv,0.0,0.25,0.25,0.5,0.674626832715068,13173
epinions,GINEConv,0.0,0.25,0.5,0.75,0.6105439470708932,5339
epinions,GINEConv,0.0,0.25,0.75,1.0,0.4919171596852209,3558
epinions,GINEConv,0.25,0.5,0.0,0.25,0.9234691590460822,4069
epinions,GINEConv,0.25,0.5,0.25,0.5,0.7941016646638864,2557
epinions,GINEConv,0.25,0.5,0.5,0.75,0.7710933309494011,1079
epinions,GINEConv,0.25,0.5,0.75,1.0,0.7368962307042802,860
epinions,GINEConv,0.5,0.75,0.0,0.25,0.9250848509144726,3816
epinions,GINEConv,0.5,0.75,0.25,0.5,0.7326986314058773,2424
epinions,GINEConv,0.5,0.75,0.5,0.75,0.7141076769690926,1093
epinions,GINEConv,0.5,0.75,0.75,1.0,0.6887922943468492,963
epinions,GINEConv,0.75,1.0,0.0,0.25,0.9379345967259277,6496
epinions,GINEConv,0.75,1.0,0.25,0.5,0.7525913394103021,3968
epinions,GINEConv,0.75,1.0,0.5,0.75,0.7158144689220801,2115
epinions,GINEConv,0.75,1.0,0.75,1.0,0.6843476276295183,2147
wiki-elec,SiGAT,0.0,0.25,0.0,0.25,0.9827462772050402,794
wiki-elec,SiGAT,0.0,0.25,0.25,0.5,0.9209569957601453,267
wiki-elec,SiGAT,0.0,0.25,0.5,0.75,0.8699752628324057,316
wiki-elec,SiGAT,0.0,0.25,0.75,1.0,0.8544264689360745,457
wiki-elec,SiGAT,0.25,0.5,0.0,0.25,0.9664880952380953,860
wiki-elec,SiGAT,0.25,0.5,0.25,0.5,0.7995198079231691,311
wiki-elec,SiGAT,0.25,0.5,0.5,0.75,0.8399305555555555,302
wiki-elec,SiGAT,0.25,0.5,0.75,1.0,0.6060617760617761,424
wiki-elec,SiGAT,0.5,0.75,0.0,0.25,0.9601058381700239,1068
wiki-elec,SiGAT,0.5,0.75,0.25,0.5,0.9214501510574018,377
wiki-elec,SiGAT,0.5,0.75,0.5,0.75,0.8128169434224918,469
wiki-elec,SiGAT,0.5,0.75,0.75,1.0,0.6547083694071565,710
wiki-elec,SiGAT,0.75,1.0,0.0,0.25,0.9291743306764766,1333
wiki-elec,SiGAT,0.75,1.0,0.25,0.5,0.8219891511339373,575
wiki-elec,SiGAT,0.75,1.0,0.5,0.75,0.7273688842908208,724
wiki-elec,SiGAT,0.75,1.0,0.75,1.0,0.6493198450279811,1383
wiki-elec,GINEConv,0.0,0.25,0.0,0.25,0.9197451317296679,794
wiki-elec,GINEConv,0.0,0.25,0.25,0.5,0.7837674136886735,267
wiki-elec,GINEConv,0.0,0.25,0.5,0.75,0.5947742733457019,316
wiki-elec,GINEConv,0.0,0.25,0.75,1.0,0.5781934614088304,457
wiki-elec,GINEConv,0.25,0.5,0.0,0.25,0.9080357142857143,860
wiki-elec,GINEConv,0.25,0.5,0.25,0.5,0.7713085234093637,311
wiki-elec,GINEConv,0.25,0.5,0.5,0.75,0.7984953703703703,302
wiki-elec,GINEConv,0.25,0.5,0.75,1.0,0.6644015444015444,424
wiki-elec,GINEConv,0.5,0.75,0.0,0.25,0.9706213724820758,1068
wiki-elec,GINEConv,0.5,0.75,0.25,0.5,0.9160646262971233,377
wiki-elec,GINEConv,0.5,0.75,0.5,0.75,0.7774435716416427,469
wiki-elec,GINEConv,0.5,0.75,0.75,1.0,0.6331229143726517,710
wiki-elec,GINEConv,0.75,1.0,0.0,0.25,0.9341917024320457,1333
wiki-elec,GINEConv,0.75,1.0,0.25,0.5,0.7768624848519822,575
wiki-elec,GINEConv,0.75,1.0,0.5,0.75,0.6966330304270284,724
wiki-elec,GINEConv,0.75,1.0,0.75,1.0,0.6496513129573827,1383
wiki-rfa,SiGAT,0.0,0.25,0.0,0.25,0.9473162675474814,1231
wiki-rfa,SiGAT,0.0,0.25,0.25,0.5,0.8222094361334868,406
wiki-rfa,SiGAT,0.0,0.25,0.5,0.75,0.861904761904762,485
wiki-rfa,SiGAT,0.0,0.25,0.75,1.0,0.8298165259061184,813
wiki-rfa,SiGAT,0.25,0.5,0.0,0.25,0.991261171797418,1363
wiki-rfa,SiGAT,0.25,0.5,0.25,0.5,0.9315789473684211,497
wiki-rfa,SiGAT,0.25,0.5,0.5,0.75,0.8270867430441899,522
wiki-rfa,SiGAT,0.25,0.5,0.75,1.0,0.6340556301045341,877
wiki-rfa,SiGAT,0.5,0.75,0.0,0.25,0.9710794753951351,1710
wiki-rfa,SiGAT,0.5,0.75,0.25,0.5,0.8963473493185067,671
wiki-rfa,SiGAT,0.5,0.75,0.5,0.75,0.8178320384757676,806
wiki-rfa,SiGAT,0.5,0.75,0.75,1.0,0.6360921922811175,1405
wiki-rfa,SiGAT,0.75,1.0,0.0,0.25,0.9197680790750224,2108
wiki-rfa,SiGAT,0.75,1.0,0.25,0.5,0.7754599847608579,941
wiki-rfa,SiGAT,0.75,1.0,0.5,0.75,0.741306070905598,1242
