dataset,pewter_variant,pewter_mean,baseline,baseline_mean,median_diff,n_wins,p_value
bitcoin-alpha,full,0.9145899999999999,SNEA,0.8704659273036851,0.04448419156256345,10,0.0009765625
bitcoin-otc,local,0.9317500000000001,SNEA,0.8899165785577422,0.03862555980868776,10,0.0009765625
epinions,local,0.95365,SiGAT,0.9088092422249368,0.044236334639271735,10,0.0009765625
wiki-elec,local,0.9023300000000001,SiGAT,0.8884297989049805,0.013688970973033399,10,0.0009765625
wiki-rfa,full,0.89232,SiGAT,0.8780383278615386,0.01441705934670462,10,0.0009765625
slashdot090221,full,0.8989199999999998,SiGAT,0.8586305470112636,0.03983809163590002,10,0.0009765625
