dataset,pewter_variant,pewter_mean,sigat_mean,median_diff,n_wins,p_value
bitcoin-alpha,local,0.91343,0.8686812798062377,0.04559193625654734,10,0.0009765625
bitcoin-otc,local,0.9317500000000001,0.8777271570507692,0.05298042084145549,10,0.0009765625
epinions,local,0.95365,0.9088092422249368,0.044236334639271735,10,0.0009765625
wiki-elec,local,0.9023300000000001,0.8884297989049805,0.013688970973033399,10,0.0009765625
wiki-rfa,local,0.8914300000000001,0.8780383278615386,0.015240994797943164,10,0.0009765625
slashdot090221,local,0.89681,0.8586305470112636,0.03831697899397313,10,0.0009765625
