dataset,n_targets,pos_fwd,pos_bwd,neg_fwd,neg_bwd,pos_hop1,pos_hop2,neg_hop1,neg_hop2,n_pos_avail,n_neg_avail,pos_total_mean,neg_total_mean,raw_diff_pos_minus_neg,raw_p_two_sided,n_pos_avail_mean,n_neg_avail_mean,frac_both_signs_present,per_token_rate_pos,per_token_rate_neg,per_token_rate_diff,per_token_p_two_sided
bitcoin-alpha,86567,0.22461538016796112,0.204161137342453,0.004940058570355177,0.0037696193903684616,0.2261054813861847,0.20267333090305328,0.004366785287857056,0.004342901054769754,48.32046890258789,2.426825523376465,0.4287790060043335,0.008709671907126904,0.42006930708885193,0.0,48.32046890258789,2.426825523376465,0.8318065775641988,0.010388337075710297,0.004137858282774687,0.0062504783272743225,0.0
bitcoin-otc,72680,0.16043975949287415,0.1795121431350708,0.006919093895703554,0.007641015574336052,0.1946357786655426,0.1453162282705307,0.007869959808886051,0.006690148264169693,41.91913986206055,2.788332462310791,0.33995264768600464,0.014560101553797722,0.32539254426956177,0.0,41.91913986206055,2.788332462310791,0.8438497523390204,0.009995047934353352,0.0064378054812550545,0.0035572426859289408,0.0
epinions,27050,0.09832242131233215,0.11144866794347763,0.03136095032095909,0.02533797174692154,0.11191705614328384,0.0978541150689125,0.0288099255412817,0.02788902074098587,20.78927993774414,3.4001848697662354,0.20977096259593964,0.056698910892009735,0.1530720740556717,0.0,20.78927993774414,3.4001848697662354,0.8673197781885398,0.018337957561016083,0.023121312260627747,-0.004783352836966515,0.0014822710072621703
wiki-elec,7687,0.10629258304834366,0.12764087319374084,0.03165307641029358,0.031824927777051926,0.16039995849132538,0.07353339344263077,0.04296305403113365,0.020514948293566704,3.9004812240600586,0.9176532030105591,0.2339334636926651,0.063478022813797,0.1704554408788681,0.0,3.9004812240600586,0.9176532030105591,0.524131650839079,0.06592593342065811,0.07235488295555115,-0.006428943481296301,0.33806195855140686
wiki-rfa,17802,0.06559253484010696,0.2226230800151825,0.015954514965415,0.04247550666332245,0.21579667925834656,0.07241851836442947,0.04265522584319115,0.01577478088438511,11.996742248535156,2.681777238845825,0.28821519017219543,0.0584300234913826,0.22978514432907104,0.0,11.996742248535156,2.681777238845825,0.8347938433883834,0.03648947924375534,0.026585964486002922,0.009903513826429844,0.0
slashdot090221,22396,0.20891135931015015,0.1757827252149582,0.02129390649497509,0.01794896088540554,0.2406967729330063,0.14399510622024536,0.023258231580257416,0.015984663739800453,15.973119735717773,2.7361135482788086,0.38469329476356506,0.03924287110567093,0.34545043110847473,0.0,15.973119735717773,2.7361135482788086,0.7769244507947848,0.03767544403672218,0.018117619678378105,0.019557824358344078,0.0
