dataset,display_name,local_mean,local_std,masknode_mean,masknode_std,masknode_delta_pp,masknode_p_one_sided,maskedge_mean,maskedge_std,maskedge_delta_pp,maskedge_p_one_sided
bitcoin-alpha,Bitcoin-alpha,0.91343,0.017279084980917753,0.7381800000000001,0.022778196202118867,-17.525,0.0009765625,0.91326,0.013413608347081283,-0.016999999999998128,0.2158203125
bitcoin-otc,Bitcoin-otc,0.9317500000000001,0.006503546041284777,0.7978999999999999,0.00807919137867975,-13.385000000000002,0.0009765625,0.93187,0.0066956121618730515,0.01200000000000312,0.2373046875
epinions,Epinions,0.95365,0.0015342388630486812,0.68194,0.003503395178648537,-27.171,0.0009765625,0.95303,0.0014727525250360295,-0.06199999999999984,0.23828125
wiki-elec,Wiki-elec,0.9023300000000001,0.003126250860766689,0.5697099999999999,0.007212250380814267,-33.262,0.0009765625,0.9025599999999999,0.0035242650928164355,0.023000000000000798,0.6875
wiki-rfa,Wiki-RfA,0.8914300000000001,0.0045789494185651,0.59016,0.006815374775706259,-30.127000000000002,0.0009765625,0.8916499999999999,0.0028238075162604175,0.021999999999998687,0.4228515625
slashdot090221,Slashdot,0.89681,0.0015996180099566949,0.6730400000000001,0.0036748998474637347,-22.376999999999995,0.0009765625,0.89627,0.001453004549966126,-0.054000000000000714,0.0693359375
