dataset,n_obs,src_F,src_p,tgt_F,tgt_p,interaction_F,interaction_p
bitcoin-alpha,110,11.520968555535708,0.0010016935625848822,16.551875517650743,9.711043023708028e-05,0.44751637927528465,0.869618559644467
bitcoin-otc,159,75.21143413060226,2.965493152400237e-29,65.0846536701527,1.3501781561227968e-26,6.889719944229377,3.2972192217883106e-08
epinions,160,232.50621830273647,5.504796558416949e-55,380.69667954040574,3.1082960073300364e-68,11.239450168479422,3.3766092828822264e-13
wiki-elec,160,39.41679504235445,1.1709335752519274e-18,420.24041077471475,5.442964827761842e-71,13.107909900580175,3.824297663308041e-15
wiki-rfa,160,99.24119057514308,7.085881695546614e-35,685.2082389599842,5.270836653695287e-85,29.609580229398887,1.204738465245857e-28
slashdot090221,160,1852.23525518316,8.977029438329581e-115,303.3761733430994,5.0782042083527865e-62,28.479559883734712,6.995437734467857e-28
