model_type,coefficient,model,dataset,beta,ci_low,ci_high,p_fdr,sig,odds_ratio,baseline_accuracy,n
composite,intercept,walk_full,bitcoin-otc,2.609,2.408,2.811,,,13.588,0.875,167917
composite,intercept,walk_full,epinions,2.739,2.691,2.788,,,15.475,0.875,167917
composite,intercept,walk_full,wiki-elec,2.31,2.225,2.394,,,10.071,0.875,167917
composite,intercept,walk_full,wiki-rfa,2.091,2.023,2.158,,,8.09,0.875,167917
composite,intercept,walk_full,slashdot090221,1.989,1.952,2.027,,,7.312,0.875,167917
composite,intercept,walk_localattn4,bitcoin-alpha,2.542,2.322,2.761,,,12.701,0.877,167917
composite,intercept,walk_localattn4,bitcoin-otc,2.622,2.415,2.829,,,13.765,0.877,167917
composite,intercept,walk_localattn4,epinions,2.724,2.674,2.773,,,15.234,0.877,167917
composite,intercept,walk_localattn4,wiki-elec,2.272,2.186,2.358,,,9.697,0.877,167917
composite,intercept,walk_localattn4,wiki-rfa,2.17,2.106,2.234,,,8.757,0.877,167917
composite,intercept,walk_localattn4,slashdot090221,2.017,1.98,2.054,,,7.517,0.877,167917
composite,intercept,GINEConv,bitcoin-alpha,2.479,2.239,2.72,,,11.934,0.866,167917
composite,intercept,GINEConv,bitcoin-otc,2.62,2.422,2.817,,,13.732,0.866,167917
composite,intercept,GINEConv,epinions,2.689,2.618,2.761,,,14.723,0.866,167917
composite,intercept,GINEConv,wiki-elec,2.493,2.395,2.591,,,12.097,0.866,167917
composite,intercept,GINEConv,wiki-rfa,2.543,2.472,2.615,,,12.72,0.866,167917
composite,intercept,GINEConv,slashdot090221,2.053,2.002,2.103,,,7.787,0.866,167917
composite,intercept,SiGAT,bitcoin-alpha,2.53,2.326,2.733,,,12.55,0.884,167917
composite,intercept,SiGAT,bitcoin-otc,2.411,2.224,2.598,,,11.148,0.884,167917
composite,intercept,SiGAT,epinions,2.862,2.811,2.913,,,17.496,0.884,167917
composite,intercept,SiGAT,wiki-elec,2.669,2.584,2.753,,,14.422,0.884,167917
composite,intercept,SiGAT,wiki-rfa,2.597,2.533,2.661,,,13.427,0.884,167917
composite,intercept,SiGAT,slashdot090221,2.433,2.391,2.476,,,11.398,0.884,167917
atomic_degree,src_out,walk_full,,-1.063,-1.094,-1.032,0.0e+00,yes,0.345,,125212
atomic_degree,src_in,walk_full,,-0.033,-0.065,-0.002,4.2e-02,yes,0.967,,125212
atomic_degree,tgt_out,walk_full,,-0.059,-0.086,-0.031,4.3e-05,yes,0.943,,125212
atomic_degree,tgt_in,walk_full,,-0.633,-0.666,-0.601,0.0e+00,yes,0.531,,125212
atomic_degree,twohop_in,walk_full,,-0.114,-0.154,-0.075,1.8e-08,yes,0.892,,125212
atomic_degree,twohop_out,walk_full,,-0.064,-0.095,-0.032,9.5e-05,yes,0.938,,125212
atomic_degree,log_outdeg_u,walk_full,,0.383,0.347,0.418,0.0e+00,yes,1.466,,125212
atomic_degree,log_indeg_v,walk_full,,0.144,0.11,0.178,0.0e+00,yes,1.155,,125212
atomic_degree,src_out,walk_localattn4,,-1.072,-1.103,-1.041,0.0e+00,yes,0.342,,125212
atomic_degree,src_in,walk_localattn4,,-0.039,-0.069,-0.008,1.6e-02,yes,0.962,,125212
atomic_degree,tgt_out,walk_localattn4,,-0.059,-0.088,-0.031,6.9e-05,yes,0.942,,125212
atomic_degree,tgt_in,walk_localattn4,,-0.642,-0.675,-0.61,0.0e+00,yes,0.526,,125212
atomic_degree,twohop_in,walk_localattn4,,-0.13,-0.17,-0.089,5.2e-10,yes,0.878,,125212
atomic_degree,twohop_out,walk_localattn4,,-0.062,-0.094,-0.031,1.3e-04,yes,0.94,,125212
atomic_degree,log_outdeg_u,walk_localattn4,,0.374,0.337,0.411,0.0e+00,yes,1.454,,125212
atomic_degree,log_indeg_v,walk_localattn4,,0.1,0.066,0.134,1.4e-08,yes,1.105,,125212
atomic_degree,src_out,GINEConv,,-0.499,-0.542,-0.456,0.0e+00,yes,0.607,,125212
atomic_degree,src_in,GINEConv,,-0.216,-0.258,-0.175,0.0e+00,yes,0.805,,125212
atomic_degree,tgt_out,GINEConv,,0.001,-0.026,0.028,9.6e-01,no,1.001,,125212
atomic_degree,tgt_in,GINEConv,,-1.129,-1.174,-1.085,0.0e+00,yes,0.323,,125212
atomic_degree,twohop_in,GINEConv,,-0.196,-0.245,-0.146,3.3e-14,yes,0.822,,125212
atomic_degree,twohop_out,GINEConv,,0.026,-0.006,0.059,1.2e-01,no,1.027,,125212
atomic_degree,log_outdeg_u,GINEConv,,-0.017,-0.065,0.031,5.3e-01,no,0.983,,125212
atomic_degree,log_indeg_v,GINEConv,,0.126,0.087,0.166,4.1e-10,yes,1.135,,125212
atomic_degree,src_out,SiGAT,,-1.075,-1.109,-1.04,0.0e+00,yes,0.341,,125212
atomic_degree,src_in,SiGAT,,-0.123,-0.156,-0.09,4.3e-13,yes,0.884,,125212
atomic_degree,tgt_out,SiGAT,,-0.025,-0.052,0.002,8.4e-02,no,0.975,,125212
atomic_degree,tgt_in,SiGAT,,-0.822,-0.857,-0.787,0.0e+00,yes,0.44,,125212
atomic_degree,twohop_in,SiGAT,,-0.105,-0.149,-0.06,5.9e-06,yes,0.9,,125212
atomic_degree,twohop_out,SiGAT,,-0.008,-0.041,0.026,6.7e-01,no,0.992,,125212
atomic_degree,log_outdeg_u,SiGAT,,0.36,0.32,0.4,0.0e+00,yes,1.433,,125212
atomic_degree,log_indeg_v,SiGAT,,0.171,0.138,0.204,0.0e+00,yes,1.187,,125212
atomic_degree,intercept,walk_full,bitcoin-alpha,2.827,2.555,3.099,,,16.898,0.893,125212
atomic_degree,intercept,walk_full,bitcoin-otc,3.098,2.891,3.305,,,22.156,0.893,125212
atomic_degree,intercept,walk_full,epinions,3.105,3.05,3.16,,,22.304,0.893,125212
atomic_degree,intercept,walk_full,wiki-elec,2.981,2.872,3.091,,,19.712,0.893,125212
atomic_degree,intercept,walk_full,wiki-rfa,2.779,2.692,2.866,,,16.099,0.893,125212
atomic_degree,intercept,walk_full,slashdot090221,2.691,2.634,2.747,,,14.742,0.893,125212
atomic_degree,intercept,walk_localattn4,bitcoin-alpha,2.833,2.601,3.065,,,16.994,0.894,125212
atomic_degree,intercept,walk_localattn4,bitcoin-otc,3.055,2.855,3.254,,,21.217,0.894,125212
atomic_degree,intercept,walk_localattn4,epinions,3.099,3.041,3.157,,,22.168,0.894,125212
atomic_degree,intercept,walk_localattn4,wiki-elec,3.017,2.896,3.138,,,20.422,0.894,125212
atomic_degree,intercept,walk_localattn4,wiki-rfa,2.944,2.859,3.029,,,18.994,0.894,125212
atomic_degree,intercept,walk_localattn4,slashdot090221,2.73,2.673,2.787,,,15.33,0.894,125212
atomic_degree,intercept,GINEConv,bitcoin-alpha,2.605,2.342,2.867,,,13.526,0.879,125212
atomic_degree,intercept,GINEConv,bitcoin-otc,2.754,2.559,2.949,,,15.703,0.879,125212
atomic_degree,intercept,GINEConv,epinions,2.684,2.611,2.756,,,14.639,0.879,125212
atomic_degree,intercept,GINEConv,wiki-elec,2.939,2.808,3.069,,,18.889,0.879,125212
atomic_degree,intercept,GINEConv,wiki-rfa,3.213,3.113,3.313,,,24.858,0.879,125212
atomic_degree,intercept,GINEConv,slashdot090221,2.782,2.714,2.851,,,16.156,0.879,125212
atomic_degree,intercept,SiGAT,bitcoin-alpha,2.843,2.637,3.049,,,17.165,0.899,125212
atomic_degree,intercept,SiGAT,bitcoin-otc,2.692,2.515,2.868,,,14.755,0.899,125212
atomic_degree,intercept,SiGAT,epinions,3.039,2.973,3.106,,,20.888,0.899,125212
atomic_degree,intercept,SiGAT,wiki-elec,3.253,3.132,3.374,,,25.877,0.899,125212
atomic_degree,intercept,SiGAT,wiki-rfa,3.273,3.185,3.361,,,26.402,0.899,125212
atomic_degree,intercept,SiGAT,slashdot090221,3.138,3.072,3.204,,,23.064,0.899,125212
