dataset,eid_mean,baseline,baseline_mean,median_diff,n_wins,p_value
bitcoin-alpha,0.9035699999999999,SNEA,0.8704659273036851,0.03854448943246391,10,0.0009765625
bitcoin-otc,0.92689,SNEA,0.8899165785577422,0.03467245553232212,10,0.0009765625
wiki-elec,0.8816599999999999,SiGAT,0.8884297989049805,-0.0050615355391387395,0,1.0
wiki-rfa,0.85845,SiGAT,0.8780383278615386,-0.006427450378579946,1,0.9990234375
epinions,0.95486,SiGAT,0.9088092422249368,0.04573633463927179,10,0.0009765625
slashdot090221,0.8889900000000001,SiGAT,0.8586305470112636,0.029538091635900043,10,0.0009765625
