scale,term,is_dataset_intercept,mean_beta,std_beta,min_beta,max_beta,n_seeds,n_seeds_significant,frac_seeds_significant
raw,ds_bitcoin-alpha,True,4.640562903082537,0.0930317886287081,4.441044424628792,4.748521011389438,10,,
raw,ds_bitcoin-otc,True,4.646775889813291,0.07265992271181272,4.559559781119573,4.8177165740408645,10,,
raw,ds_epinions,True,5.077270936665153,0.08295352214182879,4.929848078079242,5.160400315959326,10,,
raw,ds_slashdot090221,True,5.058838334322276,0.09906768359482598,4.8895599860576,5.206717371561221,10,,
raw,ds_wiki-elec,True,5.317943776917365,0.06271730105282027,5.175388806586371,5.388558846253092,10,,
raw,ds_wiki-rfa,True,5.348973762181901,0.08898843938779237,5.23141822984208,5.513429157435921,10,,
raw,src_in,False,-0.41422486047527085,0.038366292838309,-0.4713452747583996,-0.335840611809716,10,10.0,1.0
raw,src_out,False,-2.6890182664674365,0.06664122678140218,-2.780244466337493,-2.5728735598599872,10,10.0,1.0
raw,tgt_in,False,-2.5034276207295667,0.05993799590709932,-2.5758681552993203,-2.421154669649356,10,10.0,1.0
raw,tgt_out,False,0.034163651912623764,0.031673702669935674,-0.0146915067374853,0.0947321837646273,10,2.0,0.2
zscored,ds_bitcoin-alpha,True,2.5379597460144456,0.07843308550034528,2.39829391719886,2.6523583784916323,10,,
zscored,ds_bitcoin-otc,True,2.5441727327451993,0.06614858773075823,2.4440946989212766,2.699039475705169,10,,
zscored,ds_epinions,True,2.974667779597061,0.05109565355429682,2.88709757064931,3.03624978548301,10,,
zscored,ds_slashdot090221,True,2.956235177254184,0.06457245580935116,2.846809478627668,3.046544028090926,10,,
zscored,ds_wiki-elec,True,3.215340619849273,0.042457459532667684,3.1326382991564388,3.267993467677872,10,,
zscored,ds_wiki-rfa,True,3.2463706051138095,0.05469236678047843,3.183864653248065,3.353255813965625,10,,
zscored,src_in,False,-0.13982750749488493,0.012908964972248754,-0.1592621487004469,-0.11342204719405,10,10.0,1.0
zscored,src_out,False,-1.0028034542470705,0.025461558727769416,-1.036339182489176,-0.9581445153570278,10,10.0,1.0
zscored,tgt_in,False,-0.8192374249022029,0.019448120354939365,-0.8433560044436441,-0.7926076857122374,10,10.0,1.0
zscored,tgt_out,False,0.013127764033375799,0.012168875583638198,-0.0056436338498628,0.0363853387241082,10,2.0,0.2
