dataset,n_paired_nodes,mean_H_out,mean_H_in,median_H_out,median_H_in,tie_rate,n_nontied,frac_H_out_lt_H_in_nontied,rank_biserial_r,p_confirm_direction,p_reversed_direction
bitcoin-alpha,3257,0.06993678121689544,0.08578792845547566,0.0,0.0,0.7942892232115444,670,0.5164179104477612,0.14647329670574105,0.0005095468227418965,0.9994904531772582
bitcoin-otc,4791,0.0890885966861673,0.11926836584164038,0.0,0.0,0.7612189522020455,1144,0.5506993006993007,0.22372736433871804,2.7397356245929345e-11,0.9999999999726027
epinions,47763,0.1315223068095853,0.19395528686572572,0.0,0.0,0.6229717563804619,18008,0.6231674811195025,0.2868607097803583,3.682548868859894e-244,1.0
wiki-elec,1376,0.48391194172021473,0.3968146844957828,0.5435644431995964,0.3227569588973983,0.10174418604651163,1236,0.40372168284789645,-0.20610726964966394,0.9999999998269279,1.7307208852815549e-10
wiki-rfa,2499,0.4846249915354767,0.41009255844251064,0.5435644431995964,0.3372900666170139,0.10644257703081232,2233,0.4236453201970443,-0.18307185976126797,0.9999999999999662,3.370216518673562e-14
slashdot090221,32188,0.24421233736123865,0.3293556741289401,0.0,0.0,0.45684727227538213,17483,0.6024709718011783,0.27517039692367495,2.6199297628291707e-218,1.0
