dataset,n_shared_edges,walk_best_model,gnn_best_model,point_walk_auc,point_gnn_auc,point_gap,boot_gap_mean,boot_gap_se,boot_gap_ci_lo,boot_gap_ci_hi
bitcoin-alpha,2419,walk_localattn4,SiGAT,0.9353372896419254,0.882112038072303,0.053225251569622434,0.05155592903578607,0.014613495687309694,0.022958945909502683,0.07984464465209547
bitcoin-otc,3560,walk_full,GINEConv,0.9420623697496482,0.8848812081810558,0.05718116156859243,0.05569359147357659,0.011527132994257264,0.03122553553897576,0.07773806551458234
epinions,84080,walk_localattn4,SiGAT,0.9558182545050945,0.9137106059036384,0.042107648601456105,0.04230805864712444,0.0018283918603652844,0.03864392404665049,0.04585768647429967
wiki-elec,10370,walk_localattn4,SiGAT,0.903637979972894,0.8930139177831313,0.01062406218976264,0.010895894998162202,0.005071043796166542,0.0009423310952838354,0.021056821730788298
wiki-rfa,17722,walk_full,SiGAT,0.8931037573602738,0.8830700142430524,0.010033743117221383,0.010252047276436851,0.004010889094772551,0.0027107277625705666,0.01830290966192765
slashdot090221,54921,walk_full,SiGAT,0.9007009838632145,0.8588362440242884,0.041864739838926135,0.04194267493460534,0.002359806011494684,0.037308270780700974,0.04649905365526154
