dataset,line_dist,n_pairs,mi_bits,nmi
wiki-rfa,1,50578637,2.787759871182238e-09,3.704588717579809e-09
wiki-rfa,2,2993459535,2.6251808299949356e-10,3.488471787575866e-10
wiki-rfa,3,12114808606,4.3614562405974405e-11,5.7949406391147116e-11
wiki-rfa,4,4312077861,4.946065512561945e-10,6.583585030334762e-10
wiki-rfa,5,327826221,2.9736029878364744e-09,3.980148272248315e-09
wiki-rfa,6,9405604,2.9113503631820158e-06,3.6666757909940538e-06
wiki-rfa,7,263674,5.92097342231486e-05,6.038826995890085e-05
wiki-rfa,8,7667,6.538175659021451e-06,8.887114246363658e-06
