line_dist,n_pairs_precap,n_pairs_used,phi
1,2849426,10000,0.3379531316062881
2,120218415,10000,0.03786470096844117
3,488230854,10000,0.021501962061373593
4,186154521,10000,-0.026927785104182596
5,21616310,10000,-0.056456136872087594
6,2115905,10000,-0.05829242032774659
7,177772,10000,-0.05540350715667616
8,15655,10000,-0.035903987323231516
