direction,recording,sampling,n_anchors,line_dist,n_pairs,mi_bits,nmi,phi
directed,tree,large_random_10k,10000,1,1273749,0.09851057052094665,0.11895617457585257,0.3846253274118357
directed,tree,large_random_10k,10000,2,31672793,0.001715668485292754,0.002147712115783741,0.04937912316957467
directed,tree,large_random_10k,10000,3,224292128,3.0466836941393403e-05,3.747988834215263e-05,0.006508640825838804
directed,tree,large_random_10k,10000,4,285750641,8.61952459882897e-06,1.0870827812776451e-05,-0.003453860255280587
directed,tree,large_random_10k,10000,5,96409742,0.0002178354462089773,0.0003012222480776459,-0.01726063889051697
directed,tree,large_random_10k,10000,6,18051885,0.0007046207361734698,0.001112917477866302,-0.030650576219112928
directed,tree,large_random_10k,10000,7,2914746,0.0003683068195104032,0.0006544518097273332,-0.022204277267795693
directed,tree,large_random_10k,10000,8,504177,0.0008047198640201148,0.0018437830029987615,-0.03232351269968693
