run_name,epoch,val_auc
slashdot-edge_seeded_fixed_20260514-133416,49,0.9121
slashdot-guaranteed_20260430-124104,0,0.6843
slashdot-guaranteed_20260430-124104,1,0.6846
slashdot-guaranteed_20260430-124104,2,0.7381
slashdot-guaranteed_20260430-124104,3,0.8188
slashdot-guaranteed_20260430-124104,4,0.8348
slashdot-guaranteed_20260430-124104,5,0.8444
slashdot-guaranteed_20260430-124104,6,0.8521
slashdot-guaranteed_20260430-124104,7,0.8586
slashdot-guaranteed_20260430-124104,8,0.8698
slashdot-guaranteed_20260430-124104,9,0.8714
slashdot-guaranteed_20260430-125050,0,0.685
slashdot-guaranteed_20260430-125050,1,0.6874
slashdot-guaranteed_20260430-125050,2,0.7382
slashdot-guaranteed_20260430-125050,3,0.8187
slashdot-guaranteed_20260430-125050,4,0.8347
slashdot-guaranteed_20260430-125050,5,0.8444
slashdot-guaranteed_20260430-125050,6,0.852
slashdot-guaranteed_20260430-125050,7,0.8584
slashdot-guaranteed_20260430-125050,8,0.8697
slashdot-guaranteed_20260430-125050,9,0.871
slashdot-guaranteed_20260430-125050,10,0.8763
slashdot-guaranteed_20260430-125050,11,0.8799
slashdot-guaranteed_20260430-125050,12,0.8837
slashdot-guaranteed_20260430-125050,13,0.8863
slashdot-guaranteed_20260430-125050,14,0.8858
slashdot-guaranteed_20260430-125050,15,0.8849
slashdot-guaranteed_20260430-125050,16,0.8869
slashdot-guaranteed_20260430-125050,17,0.8889
slashdot-guaranteed_20260430-125050,18,0.8929
slashdot-guaranteed_20260430-125050,19,0.8931
slashdot-guaranteed_20260430-125050,20,0.8935
slashdot-guaranteed_20260430-125050,21,0.8967
slashdot-guaranteed_20260430-125050,22,0.8959
slashdot-guaranteed_20260430-125050,23,0.8959
slashdot-guaranteed_20260430-125050,24,0.8964
slashdot-guaranteed_20260430-125050,25,0.8971
slashdot-guaranteed_20260430-125050,26,0.8991
slashdot-guaranteed_20260430-125050,27,0.8983
slashdot-guaranteed_20260430-125050,28,0.8981
slashdot-guaranteed_20260430-125050,29,0.899
slashdot-guaranteed_20260430-125050,30,0.899
slashdot-guaranteed_20260430-125050,31,0.899
slashdot-guaranteed_20260430-125050,32,0.9008
slashdot-guaranteed_20260430-125050,33,0.9011
slashdot-guaranteed_20260430-125050,34,0.9016
slashdot-guaranteed_20260430-125050,35,0.9016
slashdot-guaranteed_20260430-125050,36,0.9009
slashdot-guaranteed_20260430-125050,37,0.9016
slashdot-guaranteed_20260430-125050,38,0.9014
slashdot-guaranteed_20260430-125050,39,0.9015
slashdot-guaranteed_20260430-125050,40,0.9013
slashdot-guaranteed_20260430-125050,41,0.9022
slashdot-guaranteed_20260430-125050,42,0.9018
slashdot-guaranteed_20260430-125050,43,0.9022
slashdot-guaranteed_20260430-125050,44,0.9026
slashdot-guaranteed_20260430-125050,45,0.9024
slashdot-guaranteed_20260430-125050,46,0.9027
slashdot-guaranteed_20260430-125050,47,0.9025
slashdot-guaranteed_20260430-125050,48,0.9025
slashdot-guaranteed_20260430-125050,49,0.9025
slashdot-inv_degree_20260430-131814,0,0.812
slashdot-inv_degree_20260430-131814,1,0.8276
slashdot-inv_degree_20260430-131814,2,0.832
slashdot-inv_degree_20260430-131814,3,0.8361
slashdot-inv_degree_20260430-131814,4,0.8453
slashdot-inv_degree_20260430-131814,5,0.8422
slashdot-inv_degree_20260430-131814,6,0.8543
slashdot-inv_degree_20260430-131814,7,0.8504
slashdot-inv_degree_20260430-131814,8,0.8566
slashdot-inv_degree_20260430-131814,9,0.859
slashdot-inv_degree_20260430-131814,10,0.8598
slashdot-inv_degree_20260430-131814,11,0.8564
slashdot-inv_degree_20260430-131814,12,0.8628
slashdot-inv_degree_20260430-131814,13,0.8647
slashdot-inv_degree_20260430-131814,14,0.8603
slashdot-inv_degree_20260430-131814,15,0.8631
slashdot-inv_degree_20260430-131814,16,0.8678
slashdot-inv_degree_20260430-131814,17,0.8662
slashdot-inv_degree_20260430-131814,18,0.8714
slashdot-inv_degree_20260430-131814,19,0.871
slashdot-inv_degree_20260430-131814,20,0.8733
slashdot-inv_degree_20260430-131814,21,0.8629
slashdot-inv_degree_20260430-131814,22,0.8766
slashdot-inv_degree_20260430-131814,23,0.8702
slashdot-inv_degree_20260430-131814,24,0.873
slashdot-inv_degree_20260430-131814,25,0.8728
slashdot-inv_degree_20260430-131814,26,0.8726
slashdot-inv_degree_20260430-131814,27,0.876
slashdot-inv_degree_20260430-131814,28,0.8792
slashdot-inv_degree_20260430-131814,29,0.8768
slashdot-inv_degree_20260430-131814,30,0.8768
slashdot-inv_degree_20260430-131814,31,0.8764
slashdot-inv_degree_20260430-131814,32,0.8763
slashdot-inv_degree_20260430-131814,33,0.8782
slashdot-inv_degree_20260430-131814,34,0.8772
slashdot-inv_degree_20260430-131814,35,0.8774
slashdot-inv_degree_20260430-131814,36,0.8813
slashdot-inv_degree_20260430-131814,37,0.882
slashdot-inv_degree_20260430-131814,38,0.8802
slashdot-inv_degree_20260430-131814,39,0.8798
slashdot-inv_degree_20260430-131814,40,0.878
slashdot-inv_degree_20260430-131814,41,0.8797
slashdot-inv_degree_20260430-131814,42,0.88
slashdot-inv_degree_20260430-131814,43,0.8797
slashdot-inv_degree_20260430-131814,44,0.8795
slashdot-inv_degree_20260430-131814,45,0.8798
slashdot-inv_degree_20260430-131814,46,0.8795
slashdot-inv_degree_20260430-131814,47,0.8794
slashdot-inv_degree_20260430-131814,48,0.8795
slashdot-inv_degree_20260430-131814,49,0.8794
slashdot-k_cover_1_20260430-145229,0,0.6581
slashdot-k_cover_1_20260430-145229,1,0.7861
slashdot-k_cover_1_20260430-145229,2,0.8039
slashdot-k_cover_1_20260430-145229,3,0.8229
slashdot-k_cover_1_20260430-145229,4,0.8329
slashdot-k_cover_1_20260430-145229,5,0.8459
slashdot-k_cover_1_20260430-145229,6,0.8535
slashdot-k_cover_1_20260430-145229,7,0.86
slashdot-k_cover_1_20260430-145229,8,0.8648
slashdot-k_cover_1_20260430-145229,9,0.8697
slashdot-k_cover_1_20260430-145229,10,0.8779
slashdot-k_cover_1_20260430-145229,11,0.8778
slashdot-k_cover_1_20260430-145229,12,0.8794
slashdot-k_cover_1_20260430-145229,13,0.883
slashdot-k_cover_1_20260430-145229,14,0.8868
slashdot-k_cover_1_20260430-145229,15,0.8886
slashdot-k_cover_1_20260430-145229,16,0.8902
slashdot-k_cover_1_20260430-145229,17,0.8925
slashdot-k_cover_1_20260430-145229,18,0.8907
slashdot-k_cover_1_20260430-145229,19,0.8895
slashdot-k_cover_1_20260430-145229,20,0.8934
slashdot-k_cover_1_20260430-145229,21,0.8951
slashdot-k_cover_1_20260430-145229,22,0.8927
slashdot-k_cover_1_20260430-145229,23,0.8949
slashdot-k_cover_1_20260430-145229,24,0.8947
slashdot-k_cover_1_20260430-145229,25,0.8946
slashdot-k_cover_1_20260430-145229,26,0.8989
slashdot-k_cover_1_20260430-145229,27,0.896
slashdot-k_cover_1_20260430-145229,28,0.8979
slashdot-k_cover_1_20260430-145229,29,0.8969
slashdot-k_cover_1_20260430-145229,30,0.8979
slashdot-k_cover_1_20260430-145229,31,0.8986
slashdot-k_cover_1_20260430-145229,32,0.8977
slashdot-k_cover_1_20260430-145229,33,0.8977
slashdot-k_cover_1_20260430-145229,34,0.8995
slashdot-k_cover_1_20260430-145229,35,0.8991
slashdot-k_cover_1_20260430-145229,36,0.8992
slashdot-k_cover_1_20260430-145229,37,0.8987
slashdot-k_cover_1_20260430-145229,38,0.8986
slashdot-k_cover_1_20260430-145229,39,0.9003
slashdot-k_cover_1_20260430-145229,40,0.8998
slashdot-k_cover_1_20260430-145229,41,0.9001
slashdot-k_cover_1_20260430-145229,42,0.9001
slashdot-k_cover_1_20260430-145229,43,0.9006
slashdot-k_cover_1_20260430-145229,44,0.9008
slashdot-k_cover_1_20260430-145229,45,0.9008
slashdot-k_cover_1_20260430-145229,46,0.901
slashdot-k_cover_1_20260430-145229,47,0.9011
slashdot-k_cover_1_20260430-145229,48,0.901
slashdot-k_cover_1_20260430-145229,49,0.9009
slashdot-k_cover_3_20260430-150657,0,0.6277
slashdot-k_cover_3_20260430-150657,1,0.7714
slashdot-k_cover_3_20260430-150657,2,0.7906
slashdot-k_cover_3_20260430-150657,3,0.8099
slashdot-k_cover_3_20260430-150657,4,0.8187
slashdot-k_cover_3_20260430-150657,5,0.8443
slashdot-k_cover_3_20260430-150657,6,0.8515
slashdot-k_cover_3_20260430-150657,7,0.855
slashdot-k_cover_3_20260430-150657,8,0.8635
slashdot-k_cover_3_20260430-150657,9,0.8697
slashdot-k_cover_3_20260430-150657,10,0.8733
slashdot-k_cover_3_20260430-150657,11,0.8769
slashdot-k_cover_3_20260430-150657,12,0.8806
slashdot-k_cover_3_20260430-150657,13,0.8822
slashdot-k_cover_3_20260430-150657,14,0.8843
slashdot-k_cover_3_20260430-150657,15,0.889
slashdot-k_cover_3_20260430-150657,16,0.8885
slashdot-k_cover_3_20260430-150657,17,0.8899
