term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,dataset,model,spec,pooled,pooled_spec,p_fdr
const,2339,3.1623473054353304,,0.12225537148110782,0.1278500293837126,24.734818761318145,0.0,23.625988302982982,"cluster_2way(u,v)",0.33850290055652943,0.903805044890979,bitcoin-alpha,walk_full,node4_zscored,False,,
src_out,2339,-0.9668024974622696,-0.9668024974622621,0.0784622114369703,0.10401059023160535,-9.295231334707786,0.0,0.3802970970236038,"cluster_2way(u,v)",0.33850290055652943,0.903805044890979,bitcoin-alpha,walk_full,node4_zscored,False,,0.0
src_in,2339,-0.04555428630731318,-0.04555428630731356,0.07667523212149377,0.1055216268857772,-0.4317056858555054,0.6659553344091722,0.9554677323490997,"cluster_2way(u,v)",0.33850290055652943,0.903805044890979,bitcoin-alpha,walk_full,node4_zscored,False,,0.6949865955372759
tgt_out,2339,-0.1424679305329241,-0.14246793053292273,0.07481930015403941,0.09832240417318665,-1.448987458463473,0.1473410850297232,0.8672153649809106,"cluster_2way(u,v)",0.33850290055652943,0.903805044890979,bitcoin-alpha,walk_full,node4_zscored,False,,0.1885965888380457
tgt_in,2339,-0.9237967714174261,-0.9237967714174234,0.06828705779820313,0.10795195483658539,-8.557480712747106,0.0,0.39700882416844213,"cluster_2way(u,v)",0.33850290055652943,0.903805044890979,bitcoin-alpha,walk_full,node4_zscored,False,,0.0
const,2339,3.812994475667447,,0.16096143440485183,0.1456331607971948,26.182185807100147,0.0,45.28584338847217,"cluster_2way(u,v)",0.35249129615237096,0.9358700299273194,bitcoin-alpha,walk_localattn4,node4_zscored,False,,
src_out,2339,-1.0001482233688295,-1.0001482233688217,0.09302710980509746,0.12066159338468216,-8.28886968349779,2.220446049250313e-16,0.36782491688233554,"cluster_2way(u,v)",0.35249129615237096,0.9358700299273194,bitcoin-alpha,walk_localattn4,node4_zscored,False,,4.736951571734001e-16
src_in,2339,0.08845869080336462,0.08845869080336537,0.0922104134463729,0.13923257838299827,0.6353304078017874,0.52521294560317,1.092489121830372,"cluster_2way(u,v)",0.35249129615237096,0.9358700299273194,bitcoin-alpha,walk_localattn4,node4_zscored,False,,0.5931816797400509
tgt_out,2339,-0.025919036521270557,-0.02591903652127031,0.0863662956515984,0.12632846159507147,-0.20517178942897657,0.8374379093514797,0.974413978360563,"cluster_2way(u,v)",0.35249129615237096,0.9358700299273194,bitcoin-alpha,walk_localattn4,node4_zscored,False,,0.8552557372100217
tgt_in,2339,-0.9932973188674104,-0.9932973188674075,0.07875849389477539,0.1062077061532799,-9.35240346339723,0.0,0.3703535019185444,"cluster_2way(u,v)",0.35249129615237096,0.9358700299273194,bitcoin-alpha,walk_localattn4,node4_zscored,False,,0.0
const,2339,4.6393198989832465,,0.22955890990876474,0.2070166492600791,22.41037093183156,0.0,103.4739509083491,"cluster_2way(u,v)",0.42269141391503917,0.95382642154767,bitcoin-alpha,GINEConv,node4_zscored,False,,
src_out,2339,-0.9660020895007324,-0.9660020895007205,0.11108205831502234,0.1615565452804427,-5.979343565584849,2.240385876817186e-09,0.38060161169953916,"cluster_2way(u,v)",0.42269141391503917,0.95382642154767,bitcoin-alpha,GINEConv,node4_zscored,False,,3.982908225452775e-09
src_in,2339,-0.1630869981535849,-0.16308699815358638,0.10080598990935195,0.1322261981395092,-1.2333939903612376,0.21742880604695802,0.8495172787649443,"cluster_2way(u,v)",0.42269141391503917,0.95382642154767,bitcoin-alpha,GINEConv,node4_zscored,False,,0.269963529128114
tgt_out,2339,0.06066264079761593,0.060662640797615394,0.10019565578355613,0.11017130250069689,0.5506210730079388,0.5818934600089765,1.0625403959354063,"cluster_2way(u,v)",0.42269141391503917,0.95382642154767,bitcoin-alpha,GINEConv,node4_zscored,False,,0.634792865464338
tgt_in,2339,-1.215302334875772,-1.2153023348757772,0.09774995468771525,0.10456929448126669,-11.621980820512185,0.0,0.2966203220679606,"cluster_2way(u,v)",0.42269141391503917,0.95382642154767,bitcoin-alpha,GINEConv,node4_zscored,False,,0.0
const,2339,4.542330820882899,,0.22054262234536093,0.242762273504074,18.711024391550158,0.0,93.9094312889955,"cluster_2way(u,v)",0.43090511388358865,0.9486960239418555,bitcoin-alpha,SiGAT,node4_zscored,False,,
src_out,2339,-1.037709047587101,-1.037709047587093,0.10885557222633414,0.13634184335663765,-7.611082717084162,2.708944180085382e-14,0.3542653580708947,"cluster_2way(u,v)",0.43090511388358865,0.9486960239418555,bitcoin-alpha,SiGAT,node4_zscored,False,,5.653448723656449e-14
src_in,2339,-0.3077309405602389,-0.30773094056024136,0.0941845579320924,0.11063923619536188,-2.781390681483567,0.00541265565117266,0.7351130805165458,"cluster_2way(u,v)",0.43090511388358865,0.9486960239418555,bitcoin-alpha,SiGAT,node4_zscored,False,,0.008247856230358338
tgt_out,2339,0.0633207045957657,0.06332070459576511,0.09796169191378873,0.09279123581182183,0.6823996258027905,0.4949862923133517,1.065368453008887,"cluster_2way(u,v)",0.43090511388358865,0.9486960239418555,bitcoin-alpha,SiGAT,node4_zscored,False,,0.5656986197866877
tgt_in,2339,-1.156012602091589,-1.1560126020915857,0.09344086783663534,0.10176929427328586,-11.35914924385045,0.0,0.3147386704522379,"cluster_2way(u,v)",0.43090511388358865,0.9486960239418555,bitcoin-alpha,SiGAT,node4_zscored,False,,0.0
const,3371,2.8133185433024868,,0.08608436223450786,0.1011297221136464,27.81890906553632,0.0,16.66513051317155,"cluster_2way(u,v)",0.2724696559101233,0.8935034114506081,bitcoin-otc,walk_full,node4_zscored,False,,
src_out,3371,-0.6423641178094138,-0.6423641178094122,0.06042874099253084,0.07407732665493025,-8.671534824706866,0.0,0.5260473150047404,"cluster_2way(u,v)",0.2724696559101233,0.8935034114506081,bitcoin-otc,walk_full,node4_zscored,False,,0.0
src_in,3371,-0.34395153775410703,-0.3439515377541092,0.05980111695097397,0.06745086504058319,-5.09929023960125,3.4092944511954215e-07,0.7089632851700474,"cluster_2way(u,v)",0.2724696559101233,0.8935034114506081,bitcoin-otc,walk_full,node4_zscored,False,,5.950768496632009e-07
tgt_out,3371,-0.18267255077483827,-0.18267255077483643,0.05651810634476113,0.06382886691089389,-2.8619112263084987,0.004210948349497867,0.8330408896752478,"cluster_2way(u,v)",0.2724696559101233,0.8935034114506081,bitcoin-otc,walk_full,node4_zscored,False,,0.006520178089545085
tgt_in,3371,-0.7589718930738426,-0.7589718930738302,0.0558968305901912,0.11380319330860868,-6.669161655382388,2.5726976105033827e-11,0.4681474853499817,"cluster_2way(u,v)",0.2724696559101233,0.8935034114506081,bitcoin-otc,walk_full,node4_zscored,False,,4.939579412166495e-11
const,3371,3.4384338046441587,,0.11222066135129924,0.11276506808124094,30.49201196036133,0.0,31.138151529605633,"cluster_2way(u,v)",0.26903549037840213,0.9332542272322752,bitcoin-otc,walk_localattn4,node4_zscored,False,,
src_out,3371,-0.6264029156814142,-0.6264029156814126,0.07425354424687534,0.08909868661395759,-7.0304393867831285,2.0587975768648903e-12,0.5345110283644133,"cluster_2way(u,v)",0.26903549037840213,0.9332542272322752,bitcoin-otc,walk_localattn4,node4_zscored,False,,4.1175951537297806e-12
src_in,3371,-0.11310550615612532,-0.11310550615612602,0.07452509312123587,0.0840047549222456,-1.3464179052818526,0.17816777965498898,0.8930564321939262,"cluster_2way(u,v)",0.26903549037840213,0.9332542272322752,bitcoin-otc,walk_localattn4,node4_zscored,False,,0.22505403745893346
