run_name,epoch,val_auc
WL_SWEEP_mw10_20260604-140837,3,0.847
WL_SWEEP_mw10_20260604-140837,4,0.8628
WL_SWEEP_mw10_20260604-140837,5,0.8728
WL_SWEEP_mw10_20260604-140837,6,0.881
WL_SWEEP_mw10_20260604-140837,7,0.8868
WL_SWEEP_mw10_20260604-140837,8,0.8929
WL_SWEEP_mw10_20260604-140837,9,0.8936
WL_SWEEP_mw10_20260604-140837,10,0.895
WL_SWEEP_mw10_20260604-140837,11,0.8994
WL_SWEEP_mw10_20260604-140837,12,0.8997
WL_SWEEP_mw10_20260604-140837,13,0.9011
WL_SWEEP_mw10_20260604-140837,14,0.9028
WL_SWEEP_mw10_20260604-140837,15,0.9045
WL_SWEEP_mw10_20260604-140837,16,0.9023
WL_SWEEP_mw10_20260604-140837,17,0.9033
WL_SWEEP_mw10_20260604-140837,18,0.9047
WL_SWEEP_mw10_20260604-140837,19,0.9061
WL_SWEEP_mw10_20260604-140837,20,0.9055
WL_SWEEP_mw10_20260604-140837,21,0.9077
WL_SWEEP_mw10_20260604-140837,22,0.9092
WL_SWEEP_mw10_20260604-140837,23,0.9083
WL_SWEEP_mw10_20260604-140837,24,0.9075
WL_SWEEP_mw10_20260604-140837,25,0.9085
WL_SWEEP_mw10_20260604-140837,26,0.9072
WL_SWEEP_mw10_20260604-140837,27,0.9093
WL_SWEEP_mw10_20260604-140837,28,0.9075
WL_SWEEP_mw10_20260604-140837,29,0.9069
WL_SWEEP_mw10_20260604-140837,30,0.9073
WL_SWEEP_mw10_20260604-140837,31,0.9085
WL_SWEEP_mw10_20260604-140837,32,0.9081
WL_SWEEP_mw10_20260604-140837,33,0.9076
WL_SWEEP_mw10_20260604-140837,34,0.9087
WL_SWEEP_mw10_20260604-140837,35,0.909
WL_SWEEP_mw10_20260604-140837,36,0.9103
WL_SWEEP_mw10_20260604-140837,37,0.9098
WL_SWEEP_mw10_20260604-140837,38,0.9099
WL_SWEEP_mw10_20260604-140837,39,0.9095
WL_SWEEP_mw10_20260604-140837,40,0.9097
WL_SWEEP_mw10_20260604-140837,41,0.9102
WL_SWEEP_mw10_20260604-140837,42,0.9099
WL_SWEEP_mw10_20260604-140837,43,0.91
WL_SWEEP_mw10_20260604-140837,44,0.9102
WL_SWEEP_mw10_20260604-140837,45,0.9105
WL_SWEEP_mw10_20260604-140837,46,0.9103
WL_SWEEP_mw10_20260604-140837,47,0.9097
WL_SWEEP_mw10_20260604-140837,48,0.9096
WL_SWEEP_mw10_20260604-140837,49,0.9097
WL_SWEEP_mw10_20260604-140849,0,0.6267
WL_SWEEP_mw10_20260604-140849,1,0.702
WL_SWEEP_mw10_20260604-140849,2,0.7392
WL_SWEEP_mw10_20260604-140849,3,0.7558
WL_SWEEP_mw10_20260604-140849,4,0.7637
WL_SWEEP_mw10_20260604-140849,5,0.7737
WL_SWEEP_mw10_20260604-140849,6,0.7969
WL_SWEEP_mw10_20260604-140849,7,0.8064
