scale,term,is_dataset_intercept,mean_beta,std_beta,min_beta,max_beta,n_seeds,n_seeds_significant,frac_seeds_significant
raw,ds_bitcoin-alpha,True,4.640562903082537,0.0930317886287081,4.441044424628792,4.748521011389438,10,,
raw,ds_bitcoin-otc,True,4.646775889813291,0.07265992271181272,4.559559781119573,4.8177165740408645,10,,
raw,ds_epinions,True,5.077270936665153,0.08295352214182879,4.929848078079242,5.160400315959326,10,,
raw,ds_slashdot090221,True,5.058838334322276,0.099067683594826,4.8895599860576,5.206717371561221,10,,
raw,ds_wiki-elec,True,5.317943776917365,0.06271730105282027,5.175388806586371,5.388558846253092,10,,
raw,ds_wiki-rfa,True,5.348973762181901,0.08898843938779237,5.23141822984208,5.513429157435921,10,,
raw,src_in,False,-0.41422486047527085,0.03836629283830901,-0.4713452747583996,-0.335840611809716,10,10.0,1.0
raw,src_out,False,-2.6890182664674365,0.0666412267814023,-2.7802444663374932,-2.5728735598599872,10,10.0,1.0
raw,tgt_in,False,-2.5034276207295663,0.05993799590709935,-2.5758681552993203,-2.421154669649356,10,10.0,1.0
raw,tgt_out,False,0.03416365191262381,0.03167370266993571,-0.014691506737485394,0.09473218376462739,10,2.0,0.2
zscored,ds_bitcoin-alpha,True,2.537959746014445,0.07843308550034536,2.3982939171988598,2.6523583784916323,10,,
zscored,ds_bitcoin-otc,True,2.5441727327451993,0.06614858773075813,2.4440946989212766,2.6990394757051686,10,,
zscored,ds_epinions,True,2.9746677795970613,0.05109565355429681,2.88709757064931,3.03624978548301,10,,
zscored,ds_slashdot090221,True,2.9562351772541837,0.06457245580935127,2.8468094786276676,3.046544028090926,10,,
zscored,ds_wiki-elec,True,3.215340619849273,0.0424574595326677,3.1326382991564388,3.267993467677872,10,,
zscored,ds_wiki-rfa,True,3.2463706051138095,0.05469236678047847,3.1838646532480652,3.3532558139656254,10,,
zscored,src_in,False,-0.13982750749488498,0.012908964972248761,-0.15926214870044697,-0.11342204719405002,10,10.0,1.0
zscored,src_out,False,-1.0028034542470705,0.025461558727769427,-1.036339182489176,-0.9581445153570278,10,10.0,1.0
zscored,tgt_in,False,-0.8192374249022029,0.019448120354939365,-0.8433560044436441,-0.7926076857122374,10,10.0,1.0
zscored,tgt_out,False,0.013127764033375849,0.012168875583638213,-0.005643633849862849,0.03638533872410826,10,2.0,0.2
