term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,seed,scale,p_fdr
src_out,127131,-2.7176467588413007,-1.012773995629388,0.03253308146602594,0.04664419709627228,-58.26334095176204,0.0,0.0660299561517601,"cluster_2way(u,v)",0.25188168574889125,0.8980500428691665,42,raw,0.0
src_in,127131,-0.4029781082500998,-0.1362813964088143,0.03181118986028953,0.044878696566589486,-8.979273888941371,0.0,0.6683267300050391,"cluster_2way(u,v)",0.25188168574889125,0.8980500428691665,42,raw,0.0
tgt_out,127131,0.013721500410098893,0.005266207244641943,0.027062343652913875,0.03189989802847695,0.4301424536796245,0.6670920196835648,1.0138160722576712,"cluster_2way(u,v)",0.25188168574889125,0.8980500428691665,42,raw,0.6670920196835648
tgt_in,127131,-2.5159699531210853,-0.8232895989126748,0.036455733230788,0.05410535131851941,-46.501314413606046,0.0,0.08078451699861336,"cluster_2way(u,v)",0.25188168574889125,0.8980500428691665,42,raw,0.0
ds_bitcoin-alpha,127131,4.717585282041964,0.6339817848123889,0.10458388507513444,0.10019784018983559,47.08270430883531,0.0,111.89772472955694,"cluster_2way(u,v)",0.25188168574889125,0.8980500428691665,42,raw,
ds_bitcoin-otc,127131,4.559559781119573,0.7325562494394845,0.07761027525029683,0.0969231916869881,47.04302140446013,0.0,95.54141143791777,"cluster_2way(u,v)",0.25188168574889125,0.8980500428691665,42,raw,
ds_epinions,127131,5.151714867681306,2.5591574898749045,0.03422571539824899,0.048089382452704305,107.1279065134179,0.0,172.72744119260707,"cluster_2way(u,v)",0.25188168574889125,0.8980500428691665,42,raw,
ds_wiki-elec,127131,5.351000436837006,0.9472208020043855,0.06274022413325661,0.07341999378254958,72.88206060988291,0.0,210.81910359736605,"cluster_2way(u,v)",0.25188168574889125,0.8980500428691665,42,raw,
ds_wiki-rfa,127131,5.392575571615006,1.4396929873560456,0.049767947996858526,0.061487604522338264,87.70183215799047,0.0,219.76868724670007,"cluster_2way(u,v)",0.25188168574889125,0.8980500428691665,42,raw,
ds_slashdot090221,127131,5.0705636158506,2.297567825698533,0.041747444585747584,0.054986969926088446,92.21391218076343,0.0,159.26406580383016,"cluster_2way(u,v)",0.25188168574889125,0.8980500428691665,42,raw,
src_out,127131,-1.012773995629388,-1.0127739956296522,0.01212396673677022,0.017382696891135817,-58.26334095176249,0.0,0.36321003776112615,"cluster_2way(u,v)",0.25188168574889125,0.8980500428691665,42,zscored,0.0
src_in,127131,-0.13628139640881423,-0.1362813964088767,0.01075808657301943,0.01517732926897961,-8.979273888941371,0.0,0.8725970522607946,"cluster_2way(u,v)",0.25188168574889125,0.8980500428691665,42,zscored,0.0
tgt_out,127131,0.005266207244641899,0.005266207244642585,0.010386321170611536,0.012242937658425783,0.4301424536796209,0.6670920196835675,1.0052800980873278,"cluster_2way(u,v)",0.25188168574889125,0.8980500428691665,42,zscored,0.6670920196835675
tgt_in,127131,-0.823289598912675,-0.8232895989126235,0.011929246592317456,0.017704652208105732,-46.50131441360637,0.0,0.4389851914602633,"cluster_2way(u,v)",0.25188168574889125,0.8980500428691665,42,zscored,0.0
ds_bitcoin-alpha,127131,2.602120199843668,0.34969093507922816,0.10223344264982503,0.09618351470560464,27.053702578951835,0.0,13.492314133093323,"cluster_2way(u,v)",0.25188168574889125,0.8980500428691665,42,zscored,
ds_bitcoin-otc,127131,2.4440946989212766,0.3926775679815882,0.07333666527639844,0.0930233365030194,26.2739952231443,0.0,11.520115703469724,"cluster_2way(u,v)",0.25188168574889125,0.8980500428691665,42,zscored,
ds_epinions,127131,3.03624978548301,1.5082824999488302,0.019366491211903918,0.030570928910197238,99.31820503073554,0.0,20.82699091164341,"cluster_2way(u,v)",0.25188168574889125,0.8980500428691665,42,zscored,
ds_wiki-elec,127131,3.23553535463871,0.5727464293286465,0.05320039773901288,0.059962136014789,53.95964136168699,0.0,25.41997683927411,"cluster_2way(u,v)",0.25188168574889125,0.8980500428691665,42,zscored,
ds_wiki-rfa,127131,3.2771104894167102,0.8749127254217017,0.03629527682540704,0.04315711595122826,75.934418164554,0.0,26.499092560787215,"cluster_2way(u,v)",0.25188168574889125,0.8980500428691665,42,zscored,
ds_slashdot090221,127131,2.9550985336523037,1.339010774160159,0.023504138552325974,0.031487281648363764,93.85054469463437,0.0,19.203614828919946,"cluster_2way(u,v)",0.25188168574889125,0.8980500428691665,42,zscored,
src_out,127041,-2.748346509568656,-1.0264967019703093,0.032316993241766526,0.0471736662940952,-58.26018466393125,0.0,0.06403365275206002,"cluster_2way(u,v)",0.25098302908356995,0.8956163758156815,43,raw,0.0
src_in,127041,-0.4003392761481128,-0.13499408431503432,0.03157640426522285,0.04860693253299032,-8.236258806835753,2.220446049250313e-16,0.6700926610077569,"cluster_2way(u,v)",0.25098302908356995,0.8956163758156815,43,raw,2.9605947323337506e-16
tgt_out,127041,0.09473218376462739,0.036385338724108214,0.026807363078080952,0.03230364558490008,2.9325539594487355,0.0033618649691766755,1.099364388064619,"cluster_2way(u,v)",0.25098302908356995,0.8956163758156815,43,raw,0.0033618649691766755
tgt_in,127041,-2.5516388067591618,-0.8338087466315985,0.03636855078537224,0.05212303949419125,-48.9541444919674,0.0,0.07795381003337105,"cluster_2way(u,v)",0.25098302908356995,0.8956163758156815,43,raw,0.0
ds_bitcoin-alpha,127041,4.588124163067634,0.6175739139190071,0.09965913112768202,0.09451897998047276,48.5418289957797,0.0,98.30984385325002,"cluster_2way(u,v)",0.25098302908356995,0.8956163758156815,43,raw,
ds_bitcoin-otc,127041,4.8177165740408645,0.7723975727874656,0.08234536934774596,0.09751232463725697,49.40623241177596,0.0,123.68234860677178,"cluster_2way(u,v)",0.25098302908356995,0.8956163758156815,43,raw,
ds_epinions,127041,5.074642092570153,2.520516554929195,0.03371578149251599,0.048619076022981045,104.37553544151054,0.0,159.91494698812312,"cluster_2way(u,v)",0.25098302908356995,0.8956163758156815,43,raw,
ds_wiki-elec,127041,5.323866262108675,0.9289025782611159,0.06258070966492753,0.0744281791626521,71.53024999407992,0.0,205.17561318546447,"cluster_2way(u,v)",0.25098302908356995,0.8956163758156815,43,raw,
ds_wiki-rfa,127041,5.3983633886687485,1.4421765624401586,0.04977052409781026,0.060221892372251555,89.64121146010604,0.0,221.04435631109203,"cluster_2way(u,v)",0.25098302908356995,0.8956163758156815,43,raw,
ds_slashdot090221,127041,5.096361801272544,2.3099488636650425,0.04173759713231617,0.05542831707098983,91.94509360162203,0.0,163.42624722738452,"cluster_2way(u,v)",0.25098302908356995,0.8956163758156815,43,raw,
src_out,127041,-1.0264967019703095,-1.0264967019709015,0.012070270930093378,0.017619180369776794,-58.260184663931305,0.0,0.3582598557018115,"cluster_2way(u,v)",0.25098302908356995,0.8956163758156815,43,zscored,0.0
src_in,127041,-0.1349940843150343,-0.13499408431500282,0.010647538309901096,0.016390218845842342,-8.236258806835751,2.220446049250313e-16,0.8737210803314055,"cluster_2way(u,v)",0.25098302908356995,0.8956163758156815,43,zscored,2.9605947323337506e-16
tgt_out,127041,0.03638533872410826,0.036385338724113654,0.010296342247525993,0.012407389336136202,2.9325539594487378,0.0033618649691766755,1.0370553871064416,"cluster_2way(u,v)",0.25098302908356995,0.8956163758156815,43,zscored,0.0033618649691766755
tgt_in,127041,-0.8338087466315987,-0.8338087466316586,0.011884290075394327,0.01703244444948711,-48.95414449196731,0.0,0.4343916438450359,"cluster_2way(u,v)",0.25098302908356995,0.8956163758156815,43,zscored,0.0
ds_bitcoin-alpha,127041,2.4694470647319373,0.3323942497586295,0.09734193069312957,0.09150379600774053,26.987372901153094,0.0,11.815911610776375,"cluster_2way(u,v)",0.25098302908356995,0.8956163758156815,43,zscored,
ds_bitcoin-otc,127041,2.6990394757051686,0.4327219145944186,0.078131138844557,0.09360603122958688,28.834033878492857,0.0,14.86544624292508,"cluster_2way(u,v)",0.25098302908356995,0.8956163758156815,43,zscored,
ds_epinions,127041,2.9559649942344572,1.468193927344667,0.01885447593361385,0.033446081522728904,88.38000924639488,0.0,19.220261214881255,"cluster_2way(u,v)",0.25098302908356995,0.8956163758156815,43,zscored,
ds_wiki-elec,127041,3.2051891637729786,0.5592380295563733,0.05306056434853779,0.060521843445098644,52.95921243179764,0.0,24.6601643850149,"cluster_2way(u,v)",0.25098302908356995,0.8956163758156815,43,zscored,
